--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 50.00 ºC
Calienta como maximo la T° del Agua a 90.00 ºC
No se termino el ciclo debido a falta de tiempo
Tiempo	Amb	Agua	Estado Control [0/1]	
676001	23.62	86.00	0	
678001	23.62	85.94	0	
680001	23.62	85.94	0	
682001	23.56	85.87	0	
684001	23.62	85.87	0	
686001	23.62	85.87	0	
688001	23.62	85.87	0	
690001	23.56	85.81	0	
692001	23.56	85.69	0	
694001	23.62	85.69	0	
696001	23.62	85.62	0	
698001	23.62	85.56	0	
700001	23.62	85.56	0	
702001	23.62	85.50	0	
704001	23.62	85.50	0	
706001	23.62	85.44	0	
708001	23.62	85.37	0	
710001	23.62	85.31	0	
712001	23.62	85.25	0	
714001	23.62	85.25	0	
716001	23.62	85.25	0	
718001	23.62	85.25	0	
720001	23.62	85.19	0	
722001	23.62	85.19	0	
724001	23.62	85.19	0	
726001	23.62	85.12	0	
728001	23.62	85.12	0	
730001	23.62	85.12	0	
732001	23.62	85.06	0	
734001	23.62	85.06	0	
736001	23.62	85.06	0	
738001	23.62	85.06	0	
740001	23.56	85.06	0	
742001	23.62	85.00	0	
744001	23.62	84.94	0	
746001	23.56	84.87	0	
748001	23.62	84.87	0	
750001	23.62	84.81	0	
752001	23.62	84.81	0	
754001	23.62	84.75	0	
756001	23.62	84.75	0	
758001	23.62	84.69	0	
760001	23.62	84.69	0	
762001	23.62	84.69	0	
764001	23.62	84.62	0	
766001	23.56	84.62	0	
768001	23.62	84.56	0	
770001	23.56	84.56	0	
772001	23.56	84.56	0	
774001	23.62	84.50	0	
776001	23.56	84.50	0	
778001	23.62	84.44	0	
780001	23.56	84.37	0	
782001	23.56	84.31	0	
784001	23.56	84.31	0	
786001	23.56	84.31	0	
788001	23.56	84.25	0	
790001	23.56	84.19	0	
792001	23.56	84.19	0	
794001	23.56	84.12	0	
796001	23.62	84.12	0	
798001	23.62	84.12	0	
800001	23.62	84.12	0	
802001	23.62	84.06	0	
804001	23.62	84.06	0	
806001	23.62	84.00	0	
808001	23.62	83.94	0	
810001	23.62	83.94	0	
812001	23.62	83.87	0	
814001	23.62	83.81	0	
816001	23.62	83.81	0	
818001	23.62	83.75	0	
820001	23.56	83.75	0	
822001	23.62	83.75	0	
824001	23.62	83.69	0	
826001	23.62	83.69	0	
828001	23.62	83.62	0	
830001	23.62	83.62	0	
832001	23.62	83.56	0	
834001	23.62	83.56	0	
836001	23.62	83.56	0	
838001	23.62	83.56	0	
840001	23.62	83.50	0	
842001	23.69	83.50	0	
844001	23.62	83.44	0	
846001	23.62	83.44	0	
848001	23.62	83.37	0	
850001	23.62	83.37	0	
852001	23.62	83.37	0	
854001	23.62	83.31	0	
856001	23.62	83.31	0	
858001	23.62	83.25	0	
860001	23.62	83.25	0	
862001	23.56	83.19	0	
864001	23.56	83.12	0	
866001	23.56	83.12	0	
868001	23.56	83.12	0	
870001	23.56	83.06	0	
872001	23.56	83.06	0	
874001	23.56	83.06	0	
876001	23.56	83.00	0	
878001	23.56	83.00	0	
880001	23.56	82.94	0	
882001	23.62	82.94	0	
884001	23.56	82.94	0	
886001	23.56	82.87	0	
888001	23.56	82.81	0	
890001	23.62	82.81	0	
892001	23.56	82.75	0	
894001	23.62	82.75	0	
896001	23.56	82.69	0	
898001	23.62	82.62	0	
900001	23.62	82.56	0	
902001	23.62	82.56	0	
904001	23.62	82.50	0	
906001	23.62	82.50	0	
908001	23.62	82.50	0	
910001	23.62	82.44	0	
912001	23.62	82.44	0	
914001	23.62	82.37	0	
916001	23.62	82.37	0	
918001	23.56	82.37	0	
920001	23.62	82.31	0	
922001	23.62	82.31	0	
924001	23.62	82.31	0	
926001	23.62	82.25	0	
928001	23.62	82.25	0	
930001	23.62	82.25	0	
932001	23.62	82.19	0	
934001	23.62	82.19	0	
936001	23.62	82.12	0	
938001	23.62	82.12	0	
940001	23.56	82.06	0	
942001	23.62	82.06	0	
944001	23.62	82.00	0	
946001	23.62	82.00	0	
948001	23.62	81.94	0	
950001	23.62	81.87	0	
